item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
99157983,NESTTUN,Beds,595,No old price,TRUE,https://www.ikea.com/sa/en/p/nesttun-bed-frame-white-s99157983/,Yes,"        Bed frame,          140x200 cm",IKEA of Sweden/David Wahl,,95,146
296313,SINDVIK,Cabinets & cupboards,150,No old price,TRUE,https://www.ikea.com/sa/en/p/sindvik-glass-door-black-brown-clear-glass-00296313/,Yes,"        Glass door,          60x64 cm",Marcus Arvonen,,64,60
40351246,BESTÅ,Bookcases & shelving units,60,No old price,TRUE,https://www.ikea.com/sa/en/p/besta-drawer-frame-black-brown-40351246/,Yes,"        Drawer frame,          60x15x40 cm",IKEA of Sweden,40,15,60
29248374,IVAR,Bookcases & shelving units,795,No old price,TRUE,https://www.ikea.com/sa/en/p/ivar-3-sections-shelves-pine-s29248374/,No,"        3 sections/shelves,          259x30x179 cm",IKEA of Sweden,30,179,259
80362974,SLÄKT,Children's furniture,295,No old price,TRUE,https://www.ikea.com/sa/en/p/slaekt-storage-box-with-castors-80362974/,No,"        Storage box with castors,          62x62x35 cm",Ebba Strandmark,53,35,62
49280754,BILLY / OXBERG,Cabinets & cupboards,1370,No old price,TRUE,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-w-height-extension-ut-drs-white-s49280754/,Yes,"        Bookcase w height extension ut/drs,          160x30x237 cm",Gillis Lundgren/IKEA of Sweden,30,237,160
19102659,TROFAST,Nursery furniture,395,No old price,TRUE,https://www.ikea.com/sa/en/p/trofast-storage-combination-light-white-stained-pine-pine-white-s19102659/,Yes,"        Storage combination,          94x44x52 cm",Studio Copenhagen,44,52,94
70246089,JANINGE,Chairs,595,No old price,TRUE,https://www.ikea.com/sa/en/p/janinge-bar-stool-white-70246089/,No,"        Bar stool,          76 cm",John/Jonas/Petrus/Paul/Caroline,36,84,38
59253439,FRÖSÖN/DUVHOLMEN,Outdoor furniture,59,No old price,TRUE,https://www.ikea.com/sa/en/p/froesoen-duvholmen-chair-cushion-outdoor-beige-s59253439/,Yes,"        Chair cushion, outdoor,          44x44 cm",Eva Lilja Löwenhielm/IKEA of Sweden,44,,44
70344933,EKET,Bookcases & shelving units,625,No old price,TRUE,https://www.ikea.com/sa/en/p/eket-cabinet-with-3-drawers-dark-grey-70344933/,Yes,"        Cabinet with 3 drawers,          70x35x70 cm",Jon Karlsson,35,70,70
50165079,BLÅMES,Nursery furniture,375,No old price,TRUE,https://www.ikea.com/sa/en/p/blames-highchair-with-tray-black-50165079/,No,        Highchair with tray,Tina Christensen,53,93,52
30425988,KALLVIKEN,TV & media furniture,95,No old price,TRUE,https://www.ikea.com/sa/en/p/kallviken-drawer-front-dark-grey-concrete-effect-30425988/,No,"        Drawer front,          60x26 cm",IKEA of Sweden,,26,60
80116600,LIATORP,TV & media furniture,745,No old price,TRUE,https://www.ikea.com/sa/en/p/liatorp-tv-bench-white-80116600/,No,"        TV bench,          145x49x45 cm",Carina Bengs,49,45,145
99323925,STENSELE,Tables & desks,550,No old price,TRUE,https://www.ikea.com/sa/en/p/stensele-bar-table-anthracite-anthracite-s99323925/,No,"        Bar table,          70x70 cm",Maja Ganszyniec,,104,70
9278338,KALLAX,Bookcases & shelving units,1350,No old price,TRUE,https://www.ikea.com/sa/en/p/kallax-shelving-unit-with-10-inserts-white-s09278338/,Yes,"        Shelving unit with 10 inserts,          182x182 cm",Tord Björklund/IKEA of Sweden,39,182,182
