item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
39425352,PLATSA,Cabinets & cupboards,"SR3,315","SR3,430",TRUE,https://www.ikea.com/sa/en/p/platsa-wardrobe-w-6-doors-white-fonnes-white-s39425352/,No,"Wardrobe w 6 doors, white/Fonnes white,",Unknown,,,
9401357,BESTÅ,TV & media furniture,"SR2,448",No old price,TRUE,https://www.ikea.com/sa/en/p/besta-tv-bench-with-doors-and-drawers-white-lappviken-stubbarp-white-s09401357/,Yes,"TV bench with doors and drawers, white/Lappviken/Stubbarp white,",Unknown,,,
59247194,HEMNES,Beds,"SR1,445",SR300,TRUE,https://www.ikea.com/sa/en/p/hemnes-bed-frame-grey-stained-s59247194/,Yes,"Bed frame, grey stained,",IKEA of Sweden,,,
90404879,FRANKLIN,Bar furniture,SR199,No old price,TRUE,https://www.ikea.com/sa/en/p/franklin-bar-stool-with-backrest-foldable-white-white-90404879/,Yes,"Bar stool with backrest, foldable, white/white,",K Hagberg/M Hagberg,34,74,34
89440265,BESTÅ,"Sideboards, buffets & console tables","SR2,350",No old price,TRUE,https://www.ikea.com/sa/en/p/besta-storage-combination-with-drawers-white-bjoerkoeviken-birch-veneer-s89440265/,Yes,"Storage combination with drawers, white Björköviken/birch veneer,",Unknown,,,
39495156,MALM,Beds,"SR2,552",No old price,TRUE,https://www.ikea.com/sa/en/p/malm-bedroom-furniture-set-of-4-black-brown-s39495156/,Yes,"Bedroom furniture, set of 4, black-brown,",Unknown,,,
40466285,TROFAST,Nursery furniture,SR15,No old price,TRUE,https://www.ikea.com/sa/en/p/trofast-storage-box-green-40466285/,Yes,"Storage box, green,",Unknown,30,10,42
9408603,GRÖNLID,Armchairs & chaise longues,"SR2,930",No old price,FALSE,https://www.ikea.com/sa/en/p/groenlid-cvr-crnr-sofa-bed-5-seat-w-chs-lng-sporda-dark-grey-s09408603/,Yes,"Cvr crnr sofa-bed 5-seat w chs lng, Sporda dark grey",Unknown,,,
90371765,HEMNES,Bookcases & shelving units,"SR1,249",No old price,TRUE,https://www.ikea.com/sa/en/p/hemnes-bookcase-white-stain-90371765/,Yes,"Bookcase, white stain,",Carina Bengs,37,197,90
9417669,LAGKAPTEN / OLOV,Tables & desks,SR645,No old price,TRUE,https://www.ikea.com/sa/en/p/lagkapten-olov-desk-black-brown-black-s09417669/,Yes,"Desk, black-brown/black,",Unknown,,,
20238223,VARDÖ,Beds,SR225,No old price,TRUE,https://www.ikea.com/sa/en/p/vardoe-bed-storage-box-black-20238223/,No,"Bed storage box, black,",K Hagberg/M Hagberg,70,18,65
10203610,MALM,Tables & desks,SR549,No old price,TRUE,https://www.ikea.com/sa/en/p/malm-dressing-table-white-10203610/,No,"Dressing table, white,",Eva Lilja Löwenhielm,41,78,120
90349326,HEMNES,Beds,"SR2,495",SR495,TRUE,https://www.ikea.com/sa/en/p/hemnes-day-bed-frame-with-3-drawers-white-90349326/,No,"Day-bed frame with 3 drawers, white,",Carina Bengs,200,83,80
428974,NORRÅKER,Dining furniture,SR189,No old price,TRUE,https://www.ikea.com/sa/en/p/norraker-stool-birch-00428974/,No,"Stool, birch,",J Karlsson/N Karlsson,29,45,45
9515170,PAX / MEHAMN/AULI,Wardrobes,"SR4,385","SR4,665",FALSE,https://www.ikea.com/sa/en/p/pax-mehamn-auli-wardrobe-combination-white-mirror-glass-s09515170/,No,"Wardrobe combination, white/mirror glass,",Unknown,,,
29917307,INGATORP / INGOLF,Dining furniture,"SR2,771",No old price,TRUE,https://www.ikea.com/sa/en/p/ingatorp-ingolf-table-and-4-chairs-white-s29917307/,Yes,"Table and 4 chairs, white,",Carina Bengs,,,
99306252,VIMLE,Sofas,"SR6,045",No old price,TRUE,https://www.ikea.com/sa/en/p/vimle-3-seat-sofa-with-headrest-grann-bomstad-black-s99306252/,No,"3-seat sofa, with headrest/Grann/Bomstad black",Ehlén Johansson,,,
90435324,TOSSBERG,Dining furniture,SR649,No old price,TRUE,https://www.ikea.com/sa/en/p/tossberg-chair-metal-black-grey-90435324/,No,"Chair, metal black/grey",IKEA of Sweden,40,49,44
